0,1,2,3,4,5,6
0,1,0,0,1,0,1
0,0,1,1,4,0,0
1,2,1,2,5,0,1
0,1,0,0,2,0,0
0,0,0,1,11,0,1
0,0,0,0,2,0,1
1,0,0,0,3,0,6
