lifelogger,acc,mae,f1
Client_id_42.csv,0.3111111111111111,2.8222222222222224,0.2584560242624759
Client_id_37.csv,0.6666666666666666,0.9629629629629629,0.5333333333333333
Client_id_57.csv,0.3829787234042553,2.4468085106382977,0.24040107605771582
Client_id_19.csv,0.23214285714285715,3.9285714285714284,0.16784425478290754
Client_id_53.csv,0.3673469387755102,2.061224489795918,0.34347013530687004
Client_id_31.csv,0.3148148148148148,1.9814814814814814,0.29074074074074074
Client_id_17.csv,0.2641509433962264,1.490566037735849,0.17968777655846224
Client_id_47.csv,0.34,2.54,0.2937316715542522
Client_id_28.csv,0.23636363636363636,2.1454545454545455,0.19329768270944744
Client_id_62.csv,0.20512820512820512,3.3846153846153846,0.1497953027364792
Client_id_41.csv,0.15384615384615385,2.923076923076923,0.12588823931229653
Client_id_32.csv,0.37037037037037035,2.9444444444444446,0.2315496458622636
Client_id_46.csv,0.37037037037037035,2.3703703703703702,0.29730044945098705
Client_id_39.csv,0.25,3.0384615384615383,0.17310886787630972
Client_id_51.csv,0.45454545454545453,1.6181818181818182,0.3526695526695527
Client_id_23.csv,0.25925925925925924,3.111111111111111,0.21290244492858873
Client_id_48.csv,0.36538461538461536,1.7307692307692308,0.3296503496503496
Client_id_49.csv,0.2545454545454545,2.963636363636364,0.174894745049119
Client_id_25.csv,0.35185185185185186,1.8888888888888888,0.32189998675505926
Client_id_38.csv,0.20754716981132076,1.6981132075471699,0.12556950842430745
Client_id_61.csv,0.2,2.5,0.1307692307692308
Client_id_35.csv,0.48214285714285715,1.75,0.3787912087912088
Client_id_60.csv,0.38636363636363635,1.6363636363636365,0.2820178132678133
Client_id_44.csv,0.5370370370370371,2.0925925925925926,0.4604838103823905
Client_id_26.csv,0.4166666666666667,2.25,0.3055555555555556
Client_id_43.csv,0.2222222222222222,2.740740740740741,0.1335525651128488
Client_id_29.csv,0.32727272727272727,2.1272727272727274,0.2732782369146005
Client_id_34.csv,0.2222222222222222,2.185185185185185,0.16836419753086418
Client_id_54.csv,0.46153846153846156,2.9423076923076925,0.4087278106508876
Client_id_18.csv,0.23636363636363636,2.0545454545454547,0.12584670231729056
Client_id_36.csv,0.30357142857142855,2.5892857142857144,0.23344583048530415
Client_id_27.csv,0.49056603773584906,2.7358490566037736,0.43320891689210006
Client_id_55.csv,0.24074074074074073,1.8333333333333333,0.18413835661897676
Client_id_16.csv,0.45454545454545453,1.4727272727272727,0.4044541104828186
Client_id_30.csv,0.3148148148148148,2.185185185185185,0.2286008230452675
Client_id_45.csv,0.24489795918367346,2.816326530612245,0.21204305898183445
Client_id_52.csv,0.33962264150943394,2.339622641509434,0.28621116828664
Client_id_33.csv,0.3148148148148148,3.425925925925926,0.24603174603174602
Client_id_22.csv,0.3888888888888889,2.0925925925925926,0.31079251294305055
Client_id_56.csv,0.8235294117647058,1.0588235294117647,0.7615433270082226
