GR FedAvg Fedprox Fedmem
0 0.17758615565575517 0.17102319768793486 0.13296761179898767
1 0.17734997851789225 0.16562629109106888 0.48158921092925394
2 0.1694201955237783 0.15974635834400155 0.5407549196598891
3 0.18610852999009314 0.15816150914062563 0.5750537066550521
4 0.1776196165986875 0.14664666388543032 0.590825357012159
5 0.18846909080347798 0.15037032737675762 0.6108490458570356
6 0.21530228738772775 0.14550171674130394 0.6276111192778793
7 0.2647804718075393 0.14591344202079048 0.6408757423207756
8 0.2902168919992769 0.1650692409105721 0.6560043626606982
9 0.3132111170055961 0.18352282044258433 0.6654751027362794
10 0.33580360709693174 0.20855519319478516 0.6718085176031987
11 0.31789156807659047 0.20432675212794238 0.6851414379795217
12 0.33897885339752026 0.23411529994098118 0.6932297953996341
13 0.3319289006566006 0.24551033975036776 0.700692047534174
14 0.3311807489662541 0.2695180829489186 0.7087306556201075
15 0.34499115519989865 0.28332444744186674 0.7188008294939943
16 0.33874208748726575 0.3239480650091419 0.7235409971950452
17 0.34687813612781515 0.32405150186729664 0.7359212793364818
18 0.33908832880367473 0.3348380572686645 0.7438247685086092
19 0.336379154094711 0.3189772857809533 0.7568400631093349
20 0.33717067016266 0.325517358123817 0.7605048548304388
21 0.3361464916635662 0.3450753148896026 0.769993903709716
22 0.3394695721478069 0.3586945607243618 0.7786507327203783
23 0.3333569539856834 0.34345532785868377 0.7805494142010468
24 0.34067032262319313 0.3436903751565299 0.7880797987319529
25 0.3408137169924389 0.34441523099648763 0.80166962830633
26 0.33509686734222954 0.34055572222039865 0.8032504471991024
27 0.3413012951519685 0.3468417682112608 0.8206069057685158
28 0.33960265438825993 0.34766306482252723 0.8215157899808829
29 0.3316063705701145 0.3610398915897072 0.8261273704630017
30 0.32855726991460993 0.3495831804501125 0.8329490016124812
31 0.3502344160187916 0.3536182551836738 0.845240723183658
32 0.34707495557756896 0.35134776121165856 0.8461801512338213
33 0.3330963767702642 0.34620992836432485 0.8507975015188431
34 0.3268396347515365 0.34898462448891737 0.8619339274572799
35 0.3448512493929835 0.3485739818588148 0.8610119550633215
36 0.347381355037917 0.35204599160035616 0.8651474288266965
37 0.33688389368940924 0.3467352304603656 0.8755422328810867
38 0.3439255175058867 0.3403839508188668 0.8741874291915296
39 0.327921978431742 0.34782153918851405 0.8838397316665719
40 0.34175351222888367 0.3340824277034992 0.888085649774275
41 0.34438574664200416 0.3402447294159212 0.886969527737271
42 0.34603331675554994 0.33807452447231473 0.8968731933554671
43 0.350321424945421 0.3516555301403705 0.8973783726493646
44 0.3393746513187961 0.356339183553166 0.9067416229149864
45 0.3470784252401995 0.35535154447401607 0.9044778171909287
46 0.3325207091760417 0.3454727521838589 0.9079302128067269
47 0.3451528537704322 0.34802128477129235 0.9060295027265021
48 0.3456920176986566 0.35571382259033657 0.9173914029147798
49 0.3509523828457205 0.3498055645463521 0.9242326922511998
