GR FedAvg Fedprox Fedmem
0 2.245726102590561 2.259654289484024 2.2945045709609984
1 2.231168895959854 2.251581686735153 1.9345805823802948
2 2.2383123338222504 2.266163730621338 1.8349422961473465
3 2.2103808522224426 2.2818352341651917 1.757496066391468
4 2.237518435716629 2.30236377120018 1.6994357496500014
5 2.1860229939222338 2.329904979467392 1.6537517949938774
6 2.1381049126386644 2.33195783495903 1.6169714614748956
7 2.0601173460483553 2.321214234828949 1.5818921878933907
8 2.0191122084856032 2.3054467290639877 1.5543697722256185
9 1.9655991971492768 2.2514532536268232 1.5288632348179818
10 1.9115187257528305 2.174443879723549 1.5003082163631916
11 1.925024226307869 2.1872550934553145 1.4801134392619133
12 1.8661923125386237 2.113351583480835 1.4563401564955711
13 1.8805071905255317 2.0869225680828096 1.4390435889363289
14 1.8768183290958405 2.0479448229074477 1.4181154064834118
15 1.860067155957222 2.001567414402962 1.3974272098392249
16 1.866644036769867 1.9264094173908233 1.3806063648313285
17 1.8804753303527832 1.9273570954799653 1.360114012658596
18 1.871987411379814 1.8953698679804802 1.345828239247203
19 1.8637006849050521 1.904423999786377 1.3259334448724984
20 1.8803321033716203 1.9222470939159393 1.3078265458345413
21 1.9077771574258804 1.8735340669751168 1.2889619609341025
22 1.8729226410388946 1.8508343756198884 1.2688919268548489
23 1.9139540940523148 1.8558964848518371 1.2538042133674026
24 1.8643233120441436 1.8634957924485207 1.2386023070663215
25 1.8706016778945922 1.8608618333935738 1.2165272874757647
26 1.8952375382184983 1.8647778183221817 1.2075447218492628
27 1.9041709363460542 1.8689909726381302 1.186835576221347
28 1.8733943969011306 1.8462805777788163 1.1752325611189007
29 1.8852419584989548 1.8308672964572907 1.15268141804263
30 1.9057803928852082 1.8420847997069358 1.1395518279634416
31 1.843299064040184 1.830080384016037 1.126504747197032
32 1.8615838438272476 1.8302624106407166 1.104945335816592
33 1.8838734298944473 1.8330196350812913 1.0905385555699467
34 1.8852187663316726 1.8435707688331604 1.076689289137721
35 1.8559659510850905 1.8480144321918488 1.0672130763530732
36 1.8895294845104218 1.8640076160430907 1.0510860084556044
37 1.8729847878217698 1.8458632662892343 1.0286961956880987
38 1.848798441886902 1.8544431328773499 1.0270315175876021
39 1.8838300257921219 1.8561925828456878 0.9955180707387626
40 1.8593794524669647 1.8545999020338058 0.9854319762904197
41 1.8581863075494767 1.8473486721515655 0.9728924287483096
42 1.8708890557289124 1.8507027447223663 0.9634613258764148
43 1.861423510313034 1.8517375648021699 0.9460341754369438
44 1.8638536542654038 1.835193157196045 0.9298116039019078
45 1.871279564499855 1.8391550660133362 0.9202492071315647
46 1.8721329391002655 1.8508370220661163 0.9015946651808917
47 1.8532714426517487 1.8569012433290482 0.8997535343281925
48 1.8807590663433076 1.8869583547115325 0.8809353394899517
49 1.8886220693588256 1.8641546249389649 0.8634870934765786
