GR,apriori_g,dynamic_g,apriori_p,dynamic_p
0,0.05588326623933745,0.05588326623933745,0.13655395371349513,0.13655395371349513
1,0.13970951886782598,0.10446631678009853,0.2228772527358579,0.23205889571107546
2,0.13271264129494614,0.10251349044776313,0.2389999550381592,0.2526630824004679
3,0.13804707514936126,0.09959253548163459,0.25149502309246013,0.2564695464929181
4,0.13248592334397746,0.10255801886305724,0.2574119555613649,0.2681923225854739
5,0.13303358791489497,0.13366956481067957,0.2573004113710006,0.27271353551927197
6,0.13015168971467367,0.1494585903081864,0.26309284344762257,0.28564780326075506
7,0.12704232624405368,0.1721523564004885,0.25456804363080926,0.27736024261492964
8,0.12937596127444317,0.20012864260694396,0.2636198558144907,0.2836008597806422
9,0.13035762613965407,0.18697183781606244,0.253466016821172,0.29023779907017716
10,0.13293944991392323,0.19959364289070536,0.2601651123272841,0.298230703074412
11,0.13865399697818434,0.18497217033589727,0.25905251658519474,0.2877337085707506
12,0.14458767077320903,0.19068667996645108,0.26077647948689725,0.28364163046729357
13,0.14344038697034414,0.20637699053237635,0.2629920824271008,0.28999324681440897
14,0.14639753998638858,0.21187829691709428,0.2683549454304637,0.27867550903454563
15,0.14488261686249945,0.20387447589978167,0.26953649068201196,0.2864811576659635
16,0.14957516237152751,0.21066125775178574,0.2647983181628977,0.2707630224348819
17,0.15644608898909942,0.20606588475273743,0.26212268781408954,0.2743405484530794
18,0.15242840613624614,0.20919317599678033,0.2647414359249706,0.28821481788379943
19,0.15325864378399237,0.20963005481784594,0.26986070990045835,0.27752764248930223
20,0.1566520346158333,0.19847080485941831,0.25832405570244155,0.2844836273218224
21,0.16262095148830716,0.19907359424812177,0.26664747773853764,0.2821349180033227
22,0.16391102447370368,0.20107830470854324,0.2718662657274513,0.2919859183776547
23,0.16125877675531328,0.20995629163407664,0.2672226799260457,0.2847462923932464
24,0.1641859872441118,0.20560785870768017,0.2571411138534047,0.28701957280101464
25,0.16556636006369144,0.2184957640908888,0.2600101363881988,0.28038495879117087
26,0.16461859516801908,0.20497348495710294,0.2714753410372546,0.27616426272704725
27,0.18085269200674206,0.20962831627128406,0.25916046331233417,0.27546021302221896
28,0.1816754994344789,0.1966631012883296,0.26082713865012563,0.2868518019862177
29,0.17803609742262383,0.220991964326818,0.26553408298320547,0.28059389862330014
30,0.17098205610598505,0.20500223902711798,0.26350301579693014,0.26931155997058703
31,0.16770544263511203,0.2127912988022373,0.26879286946571046,0.27887975424994327
32,0.17754792844097855,0.23151334451115263,0.2654952421725841,0.283233329741
33,0.17626776137570288,0.21723345334911295,0.2613315884133085,0.29611169797435527
34,0.17308300537115695,0.21754767609102257,0.261795376199527,0.2826593457154599
35,0.17478459202008603,0.20335788742243371,0.269205853605646,0.27775426792273344
36,0.17608161643409168,0.2125408723894926,0.2507423464623428,0.282271966385213
37,0.17214065185452807,0.19886256754664042,0.2551037999468805,0.28187822329026935
38,0.17180975156574035,0.19375316184139743,0.26159661287228975,0.2805704598800268
39,0.17822198737231895,0.19493761575644306,0.2627838215348401,0.284105657037571
40,0.18107217454895594,0.20027867950809666,0.2568403056006852,0.28408474375434944
41,0.17664242499225544,0.20030215855022118,0.2533593563864682,0.27248487572911445
42,0.17443535750957753,0.18877335754485092,0.26108463339842997,0.2869796119994419
43,0.17620518571226085,0.19141554563781515,0.2552072945910508,0.27459192537586674
44,0.179997207953847,0.1984079962497394,0.26214532831533466,0.27889649203622247
45,0.18391516873542568,0.1980686906748068,0.2655482806355621,0.2765110815835258
46,0.19171610588109836,0.20229489173071052,0.2575167802697557,0.2719745587695069
47,0.18072701795224622,0.20282217714841483,0.2705574019920661,0.2760453874562499
48,0.19571010532247826,0.19665586023153958,0.26851204327072375,0.27692375261376795
49,0.18126284483757918,0.20112891170900185,0.2620851039742544,0.2795835696118464
