0,1,2,3,4,5,6,7,8,9
0,0,0,1,0,0,0,0,0,0
0,7,3,1,0,0,0,0,0,3
0,6,1,9,0,1,0,0,1,5
0,0,2,7,0,0,0,0,0,6
0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,2
0,1,0,0,0,0,0,1,0,0
0,0,0,2,0,0,0,0,0,1
0,2,0,1,0,0,0,0,1,0
