0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1
0,3,6,0,0,1,0,0
0,1,6,0,0,2,0,0
0,0,1,0,0,3,3,0
1,0,2,0,0,10,6,1
0,0,1,0,0,1,4,2
0,0,0,0,0,0,0,0
