0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1
0,1,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,2
1,1,2,0,0,0,0,1,1
0,3,0,2,0,0,1,4,1
0,6,6,0,0,1,1,6,5
