GR apriori_g dynamic_g apriori_p dynamic_p
0 0.29429722905041783 0.29429722905041783 0.3407524957151858 0.3407524957151858
1 0.300548653795312 0.3825193330462765 0.5097005316953503 0.5065894808813162
2 0.29891544396215786 0.4391204258850013 0.5300507556468936 0.5435027950607471
3 0.3000966838392227 0.44299626773598216 0.5578822884394034 0.5512065951799408
4 0.3041148261214135 0.4475866398019653 0.5482566724769936 0.5504812750448168
5 0.30640984197557436 0.4420569841608358 0.5579274798905937 0.547857020580211
6 0.31207460809369914 0.445933993720402 0.5537341377508825 0.5581472249182748
7 0.3120881047783295 0.44330791871148817 0.5467535701167807 0.5595237531074801
8 0.3227285178547053 0.43549107200335374 0.5546054349176868 0.5619762841621864
9 0.323820210283703 0.4404559151915641 0.5473563320510558 0.56187390213431
10 0.33430396756827124 0.4344900914236902 0.5490031670731778 0.5528219242111831
11 0.34371517895635967 0.43126572097616095 0.5515406098635993 0.555465865715434
12 0.34600402732663055 0.42309980118558843 0.5513950403967826 0.5574500786820944
13 0.3519105683484935 0.43709187260394244 0.5543574407415715 0.5557736455297809
14 0.3512781845982537 0.4079301008736591 0.555062180734872 0.5564464589146902
15 0.3582784637979644 0.4147847593848786 0.5506255471354127 0.552192952417606
16 0.3698357339173676 0.4066600204208744 0.5536088206731823 0.548489923261442
17 0.3633640425264768 0.3841098470209949 0.555455498808702 0.5575245145632203
18 0.3770218028529858 0.38876483230342995 0.5530039322933745 0.5399247763671104
19 0.3762250480534424 0.39021354925973556 0.5491592952335508 0.5475786930499955
20 0.3803736536961785 0.4015995723336434 0.547895017566437 0.5461947174411176
21 0.38255290300814304 0.40174569954030004 0.5436119037594156 0.5456280382591422
22 0.3928231090001426 0.39067952932655964 0.5496710260895026 0.549383632787761
23 0.3931494503070601 0.3840609639922548 0.5441164549436478 0.5435450808668048
24 0.39669986871020746 0.39188301386955876 0.5460058034728643 0.5427524881261153
25 0.40113999342556605 0.38448000882836414 0.5469150570590009 0.5455369383673205
26 0.4046633987841889 0.3902311671924478 0.5480934462433436 0.5390171589693937
27 0.40630658625391947 0.3810794652970465 0.5486401779314584 0.5381409704915792
28 0.4204967594117927 0.38763247839891735 0.5391272338119902 0.5423405000168294
29 0.3950141601741396 0.37542742266020473 0.5422752516639604 0.529512733870432
30 0.404147055519595 0.37474134372040674 0.5522851037006429 0.5433004154218986
31 0.4245341246095699 0.37414266363185344 0.5467393189867674 0.5326946495933585
32 0.4339438100227341 0.3805404300409847 0.5386392419531313 0.5308854287240193
33 0.43436843376874834 0.3751595158312984 0.5401743263783678 0.5314519566485358
34 0.4198034913741559 0.3767744684833834 0.5421403408947916 0.5277739576483986
35 0.4429281758034607 0.3807649302912515 0.5414083355263011 0.528355152138903
36 0.43985476632393217 0.37851060765019723 0.5544607581376524 0.5357958213766048
37 0.4406449288012168 0.37578820885139863 0.5412711269603806 0.5334432984455298
38 0.43496290312177893 0.3733400796646092 0.5413417205582485 0.5344938991174372
39 0.44530917080844684 0.3821721968591188 0.5405441934374341 0.5224668654970909
40 0.42572866155599326 0.36219474595868484 0.5485540041069684 0.5290304558468039
41 0.4437097262630575 0.36788607169469734 0.5361782157501483 0.5287107741782522
42 0.4327495780429739 0.3680885942587655 0.5468417511658559 0.5131360204475077
43 0.43326106217302085 0.380164993053903 0.5423410301313916 0.5267595601126935
44 0.44788357887151814 0.37511054089511087 0.5407379157008594 0.5214168586211655
45 0.4353252241815435 0.3749470013837369 0.5366340968481053 0.5102551848898125
46 0.4297409006080963 0.37672134009736324 0.5388776072207724 0.5080499512283121
47 0.43902055679164786 0.376336625674425 0.535100643691718 0.501340873993706
48 0.44379046334110805 0.374901124564 0.5411991590547036 0.5154600229768942
49 0.4467667550489917 0.37279697495089914 0.5364061609203299 0.500025186991831
