GR apriori_g dynamic_g apriori_p dynamic_p
0 0.4540141731402017 0.4540141731402017 0.457080169682385 0.457080169682385
1 0.3263712557452456 0.4252408379301476 0.5119406387828258 0.5108295277711075
2 0.3148519019634141 0.44476211642646224 0.5467200449755615 0.5523466281732364
3 0.29935083959970754 0.4487121786424792 0.5589851075159383 0.5620577229679745
4 0.34275004359912353 0.4536758616655326 0.5571365244188257 0.5601796361618729
5 0.38009672002385386 0.4527724217033169 0.5680551600691047 0.5582737837826914
6 0.4016919662675679 0.45743626643422813 0.562650779420156 0.5694201258070313
7 0.3777355519914341 0.45729547804079146 0.5553815228501734 0.5771188649070532
8 0.4529447394008015 0.46014285968971724 0.568926997450907 0.5745545922103982
9 0.4546044464843096 0.46364363812668624 0.5553920915649567 0.5735061015722581
10 0.4986743169573015 0.46133115534282454 0.5550112421097766 0.5728289529021641
11 0.5204414580621088 0.4663139864522932 0.560608107324363 0.5730226102019155
12 0.5130989677873069 0.4647178204350743 0.5604332677550877 0.5730618837427499
13 0.5325439150235326 0.4663159099680533 0.5585430852192743 0.5685690549502658
14 0.5259698663215997 0.46166556539096765 0.5670537959031273 0.5723145227735266
15 0.5346624252724782 0.4609085909757245 0.559438288414137 0.569608476195715
16 0.5549642859030087 0.4607825186839119 0.560205930943215 0.5677350931987807
17 0.5331248364536876 0.4542728419798621 0.5598592995792286 0.5737548313390921
18 0.530233077657157 0.45396502620331436 0.5640098354093415 0.5624636025195016
19 0.5332792771951963 0.4545491297285161 0.557449915308074 0.5661989993997769
20 0.5280641352500208 0.4569224834953068 0.5618887484655093 0.5678105883371396
21 0.5414851293847851 0.4586364862879549 0.5497608284372945 0.5734092460396143
22 0.5382775669183196 0.45568056766881276 0.5622870972182425 0.5742150259334183
23 0.5379805314509597 0.4538458939354765 0.5533071962342073 0.5683810946632102
24 0.5228283067440715 0.45330165615155793 0.5567446779471377 0.570937143334745
25 0.5261724800340952 0.45524791912360546 0.5590445723895991 0.5689682547618965
26 0.5208565942142467 0.458702571373089 0.5535972841028748 0.5676459454349606
27 0.5242875323412297 0.45986054938462395 0.5616288019443746 0.5650260276665113
28 0.5335064178659668 0.45824251837673485 0.5577131208851187 0.5769773220379184
29 0.5137318032934329 0.45879873923500636 0.5558478517404349 0.5723016504218099
30 0.5253371030414864 0.4608038735146936 0.5646381864553373 0.5757375371389613
31 0.5312649404320755 0.46296711671834945 0.562241686605718 0.5748646930065979
32 0.547357256128564 0.4600876479685548 0.5516328488205675 0.5742141099710024
33 0.5357270075970298 0.4589189308889565 0.5598725408093475 0.5801381177122339
34 0.527897080112884 0.45803739289634354 0.5557612314108288 0.5648106187220022
35 0.5385876794992237 0.45971922346606137 0.553064637312161 0.5676923523984982
36 0.5352071591113924 0.45962839876810524 0.5688570572151042 0.5785078845103867
37 0.5383820110775942 0.4592016843446072 0.5617464285621389 0.5751079575161179
38 0.53593261116355 0.46288394871562083 0.5519504898011468 0.5848710989505772
39 0.5469242221453375 0.45730434105041984 0.5569803061546751 0.5712816041628712
40 0.5270512712552502 0.46511641138832316 0.5603394456273317 0.5693160333553625
41 0.5399251609079045 0.4595724519941582 0.5529728279536534 0.5725293823952841
42 0.5303998474527907 0.4597818140559136 0.5624834597951907 0.5733139461324319
43 0.5198346742637678 0.458531313641214 0.5587243486160414 0.5807053082338726
44 0.5394994794889617 0.46043358337283014 0.5589058929906452 0.5758130630080232
45 0.5363023389544339 0.45768446891963327 0.5517190266584473 0.5751335373641582
46 0.5214051735707511 0.45726894458471373 0.5597533429259671 0.5727462041837451
47 0.52946328825576 0.46043128598318656 0.5566291038818619 0.5677562887492202
48 0.5437994866729895 0.45808696480377925 0.562607071796312 0.5805878048590942
49 0.5396813489690193 0.45915876395559874 0.5494786740523737 0.5760508809843397
