0,1,2,3,4,5,6,7,8
0,0,0,0,0,1,0,2,10
1,1,0,0,0,1,0,1,8
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,5
0,0,0,0,0,0,0,1,4
0,0,0,0,0,0,0,2,9
0,0,0,0,0,0,1,2,14
