0,1,2,3,4,5,6
0,0,0,0,0,0,0
3,0,0,0,0,0,1
0,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
5,0,1,0,3,0,2
15,0,2,0,9,0,11
