0,1,2,3,4,5,6,7
4,0,0,0,0,0,0,0
9,0,0,0,0,2,1,0
1,0,0,0,0,0,0,0
10,0,1,0,0,4,0,1
4,0,0,1,0,3,2,2
0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,1
4,0,1,0,0,0,0,1
