Box no: x_left x_right y_top y_bottom
Box 1: (740 766 192 225) 
Box 2: (490 522 304 337) 
Box 3: (558 604 313 371) 
Box 4: (663 701 233 281) 
Box 5: (237 278 423 468) 
Box 6: (185 236 440 510) 
Box 7: (698 721 208 234) 
Box 8: (397 431 367 407) 
Box 9: (358 401 418 472) 
Box 10: (586 611 256 285) 
Box 11: (348 381 189 223) 
