Box no: x_left x_right y_top y_bottom
Box 1: (207 294 667 779) 
Box 2: (274 327 547 615) 
Box 3: (374 404 521 558) 
Box 4: (484 522 560 611) 
Box 5: (546 598 616 694) 
Box 6: (693 721 533 564) 
Box 7: (758 797 545 590) 
Box 8: (175 209 509 549) 
Box 9: (506 531 524 557) 
Box 10: (650 687 566 604) 
Box 11: (50 101 540 621) 
