0,1,2,3,4,5,6
3,0,1,0,1,5,1
0,0,1,0,2,2,0
2,0,2,0,1,5,3
2,0,0,0,0,3,0
1,0,0,0,1,5,2
1,0,1,0,0,6,0
0,0,0,0,1,4,1
